Creating TB dir and writter...
Using provided dataset...
/home/ganchao/miniconda3/envs/vfm/lib/python3.9/site-packages/torch/utils/data/sampler.py:68: UserWarning: `data_source` argument is not used and will be removed in 2.2.0.You may still have custom implementation that utilizes it.
  warnings.warn(
Constructing network...

VFMToyNet       Parameters  Buffers  Output shape  Datatype
---             ---         ---      ---           ---     
encoder.mu.0    6400        -        [256, 128]    float32 
encoder.mu.1    -           -        [256, 128]    float32 
encoder.mu.2    16512       -        [256, 128]    float32 
encoder.mu.3    -           -        [256, 128]    float32 
encoder.mu.4    16512       -        [256, 128]    float32 
encoder.mu.5    -           -        [256, 128]    float32 
encoder.mu.6    16512       -        [256, 128]    float32 
encoder.mu.7    -           -        [256, 128]    float32 
encoder.mu.8    16512       -        [256, 128]    float32 
encoder.mu.9    -           -        [256, 128]    float32 
encoder.mu.10   6321        -        [256, 49]     float32 
encoder.mu.0    -           -        [256, 128]    float32 
encoder.mu.1    -           -        [256, 128]    float32 
encoder.mu.2    -           -        [256, 128]    float32 
encoder.mu.3    -           -        [256, 128]    float32 
encoder.mu.4    -           -        [256, 128]    float32 
encoder.mu.5    -           -        [256, 128]    float32 
encoder.mu.6    -           -        [256, 128]    float32 
encoder.mu.7    -           -        [256, 128]    float32 
encoder.mu.8    -           -        [256, 128]    float32 
encoder.mu.9    -           -        [256, 128]    float32 
encoder.mu.10   -           -        [256, 49]     float32 
unet_model.net  420401      -        [256, 49]     float32 
vnet_model.net  420401      -        [256, 49]     float32 
<top-level>:0   98          -        [256, 49]     float32 
<top-level>:1   -           -        [256, 49]     float32 
<top-level>:2   -           -        [256, 49]     float32 
<top-level>:3   -           -        [256, 49]     float32 
<top-level>:4   -           -        [256, 49]     float32 
<top-level>:5   -           -        [256, 49]     float32 
---             ---         ---      ---           ---     
Total           919669      0        -             -       

Setting up optimizer and loss fn...
Training for 500000 kimg...

tick 0     sec/tick 0.1     sec/kimg 0.29    dyn_loss 3275.575 total_loss 6326.898
tick 1     sec/tick 0.6     sec/kimg 0.04    dyn_loss 2769.875 total_loss 5398.160
tick 2     sec/tick 0.7     sec/kimg 0.05    dyn_loss 2654.864 total_loss 5527.391
tick 3     sec/tick 0.6     sec/kimg 0.04    dyn_loss 2643.723 total_loss 5858.897
tick 4     sec/tick 0.6     sec/kimg 0.04    dyn_loss 3590.179 total_loss 6719.382
tick 5     sec/tick 0.7     sec/kimg 0.04    dyn_loss 2283.455 total_loss 5252.015
tick 6     sec/tick 0.7     sec/kimg 0.04    dyn_loss 2891.758 total_loss 5245.582
tick 7     sec/tick 0.6     sec/kimg 0.04    dyn_loss 3128.341 total_loss 6038.144
tick 8     sec/tick 0.6     sec/kimg 0.04    dyn_loss 3122.084 total_loss 5867.071
tick 9     sec/tick 0.6     sec/kimg 0.04    dyn_loss 2563.897 total_loss 5316.979
tick 10    sec/tick 0.6     sec/kimg 0.04    dyn_loss 2466.004 total_loss 5003.751
tick 11    sec/tick 0.6     sec/kimg 0.04    dyn_loss 3240.563 total_loss 5809.438
tick 12    sec/tick 0.7     sec/kimg 0.04    dyn_loss 3086.234 total_loss 5966.121
tick 13    sec/tick 0.6     sec/kimg 0.04    dyn_loss 2919.236 total_loss 5611.945
tick 14    sec/tick 0.6     sec/kimg 0.04    dyn_loss 2576.247 total_loss 5269.594
tick 15    sec/tick 0.6     sec/kimg 0.04    dyn_loss 2670.718 total_loss 5293.502
tick 16    sec/tick 0.6     sec/kimg 0.04    dyn_loss 2351.792 total_loss 5222.130
tick 17    sec/tick 0.6     sec/kimg 0.04    dyn_loss 2044.779 total_loss 4748.620
tick 18    sec/tick 0.6     sec/kimg 0.04    dyn_loss 2533.378 total_loss 5056.167
tick 19    sec/tick 0.6     sec/kimg 0.04    dyn_loss 2824.233 total_loss 5347.569
tick 20    sec/tick 0.6     sec/kimg 0.04    dyn_loss 2475.376 total_loss 4809.929
