Creating TB dir and writter...
Using provided dataset...
/home/ganchao/miniconda3/envs/vfm/lib/python3.9/site-packages/torch/utils/data/sampler.py:68: UserWarning: `data_source` argument is not used and will be removed in 2.2.0.You may still have custom implementation that utilizes it.
  warnings.warn(
Constructing network...

VFMToyNet       Parameters  Buffers  Output shape  Datatype
---             ---         ---      ---           ---     
encoder.mu.0    5248        -        [256, 128]    float32 
encoder.mu.1    -           -        [256, 128]    float32 
encoder.mu.2    16512       -        [256, 128]    float32 
encoder.mu.3    -           -        [256, 128]    float32 
encoder.mu.4    16512       -        [256, 128]    float32 
encoder.mu.5    -           -        [256, 128]    float32 
encoder.mu.6    16512       -        [256, 128]    float32 
encoder.mu.7    -           -        [256, 128]    float32 
encoder.mu.8    16512       -        [256, 128]    float32 
encoder.mu.9    -           -        [256, 128]    float32 
encoder.mu.10   5160        -        [256, 40]     float32 
encoder.mu.0    -           -        [256, 128]    float32 
encoder.mu.1    -           -        [256, 128]    float32 
encoder.mu.2    -           -        [256, 128]    float32 
encoder.mu.3    -           -        [256, 128]    float32 
encoder.mu.4    -           -        [256, 128]    float32 
encoder.mu.5    -           -        [256, 128]    float32 
encoder.mu.6    -           -        [256, 128]    float32 
encoder.mu.7    -           -        [256, 128]    float32 
encoder.mu.8    -           -        [256, 128]    float32 
encoder.mu.9    -           -        [256, 128]    float32 
encoder.mu.10   -           -        [256, 40]     float32 
unet_model.net  415784      -        [256, 40]     float32 
vnet_model.net  415784      -        [256, 40]     float32 
<top-level>:0   80          -        [256, 40]     float32 
<top-level>:1   -           -        [256, 40]     float32 
<top-level>:2   -           -        [256, 40]     float32 
<top-level>:3   -           -        [256, 40]     float32 
<top-level>:4   -           -        [256, 40]     float32 
<top-level>:5   -           -        [256, 40]     float32 
---             ---         ---      ---           ---     
Total           908104      0        -             -       

Setting up optimizer and loss fn...
Training for 500000 kimg...

tick 0     sec/tick 0.1     sec/kimg 0.29    dyn_loss 986.209 total_loss 2189.826
tick 1     sec/tick 0.4     sec/kimg 0.03    dyn_loss 935.211 total_loss 2282.843
tick 2     sec/tick 0.4     sec/kimg 0.03    dyn_loss 1043.250 total_loss 2331.549
tick 3     sec/tick 0.4     sec/kimg 0.02    dyn_loss 692.054 total_loss 1798.178
tick 4     sec/tick 0.4     sec/kimg 0.02    dyn_loss 986.407 total_loss 2145.489
tick 5     sec/tick 0.4     sec/kimg 0.02    dyn_loss 988.810 total_loss 2221.968
tick 6     sec/tick 0.4     sec/kimg 0.02    dyn_loss 927.586 total_loss 2067.289
tick 7     sec/tick 0.4     sec/kimg 0.02    dyn_loss 1059.474 total_loss 2119.332
tick 8     sec/tick 0.4     sec/kimg 0.02    dyn_loss 1066.262 total_loss 2175.208
tick 9     sec/tick 0.4     sec/kimg 0.03    dyn_loss 670.975 total_loss 1781.094
tick 10    sec/tick 0.4     sec/kimg 0.02    dyn_loss 735.179 total_loss 1871.161
tick 11    sec/tick 0.4     sec/kimg 0.02    dyn_loss 943.475 total_loss 2125.728
tick 12    sec/tick 0.4     sec/kimg 0.02    dyn_loss 1109.118 total_loss 2213.467
tick 13    sec/tick 0.4     sec/kimg 0.02    dyn_loss 977.331 total_loss 2008.214
tick 14    sec/tick 0.4     sec/kimg 0.03    dyn_loss 943.353 total_loss 2045.230
tick 15    sec/tick 0.4     sec/kimg 0.03    dyn_loss 726.293 total_loss 1876.670
tick 16    sec/tick 0.4     sec/kimg 0.02    dyn_loss 954.533 total_loss 1985.148
tick 17    sec/tick 0.4     sec/kimg 0.03    dyn_loss 970.320 total_loss 2099.534
tick 18    sec/tick 0.4     sec/kimg 0.02    dyn_loss 733.146 total_loss 1804.536
tick 19    sec/tick 0.4     sec/kimg 0.02    dyn_loss 784.147 total_loss 1805.819
tick 20    sec/tick 0.4     sec/kimg 0.02    dyn_loss 927.030 total_loss 2036.799
tick 21    sec/tick 0.4     sec/kimg 0.02    dyn_loss 698.954 total_loss 1742.585
tick 22    sec/tick 0.4     sec/kimg 0.02    dyn_loss 746.932 total_loss 1890.149
