Creating TB dir and writter...
Using provided dataset...
/home/ganchao/miniconda3/envs/vfm/lib/python3.9/site-packages/torch/utils/data/sampler.py:68: UserWarning: `data_source` argument is not used and will be removed in 2.2.0.You may still have custom implementation that utilizes it.
  warnings.warn(
Constructing network...

VFMToyNet       Parameters  Buffers  Output shape  Datatype
---             ---         ---      ---           ---     
encoder.mu.0    12672       -        [256, 128]    float32 
encoder.mu.1    -           -        [256, 128]    float32 
encoder.mu.2    16512       -        [256, 128]    float32 
encoder.mu.3    -           -        [256, 128]    float32 
encoder.mu.4    16512       -        [256, 128]    float32 
encoder.mu.5    -           -        [256, 128]    float32 
encoder.mu.6    16512       -        [256, 128]    float32 
encoder.mu.7    -           -        [256, 128]    float32 
encoder.mu.8    16512       -        [256, 128]    float32 
encoder.mu.9    -           -        [256, 128]    float32 
encoder.mu.10   12642       -        [256, 98]     float32 
encoder.mu.0    -           -        [256, 128]    float32 
encoder.mu.1    -           -        [256, 128]    float32 
encoder.mu.2    -           -        [256, 128]    float32 
encoder.mu.3    -           -        [256, 128]    float32 
encoder.mu.4    -           -        [256, 128]    float32 
encoder.mu.5    -           -        [256, 128]    float32 
encoder.mu.6    -           -        [256, 128]    float32 
encoder.mu.7    -           -        [256, 128]    float32 
encoder.mu.8    -           -        [256, 128]    float32 
encoder.mu.9    -           -        [256, 128]    float32 
encoder.mu.10   -           -        [256, 98]     float32 
unet_model.net  445538      -        [256, 98]     float32 
vnet_model.net  445538      -        [256, 98]     float32 
<top-level>:0   196         -        [256, 98]     float32 
<top-level>:1   -           -        [256, 98]     float32 
<top-level>:2   -           -        [256, 98]     float32 
<top-level>:3   -           -        [256, 98]     float32 
<top-level>:4   -           -        [256, 98]     float32 
<top-level>:5   -           -        [256, 98]     float32 
---             ---         ---      ---           ---     
Total           982634      0        -             -       

Setting up optimizer and loss fn...
Training for 500000 kimg...

tick 0     sec/tick 0.1     sec/kimg 0.30    dyn_loss 921.837 total_loss 2818.110
tick 1     sec/tick 0.5     sec/kimg 0.04    dyn_loss 987.576 total_loss 2967.050
tick 2     sec/tick 0.6     sec/kimg 0.04    dyn_loss 1064.202 total_loss 2775.271
tick 3     sec/tick 0.5     sec/kimg 0.03    dyn_loss 955.148 total_loss 2810.185
tick 4     sec/tick 0.5     sec/kimg 0.03    dyn_loss 841.158 total_loss 2551.445
tick 5     sec/tick 0.5     sec/kimg 0.03    dyn_loss 1028.323 total_loss 2906.494
tick 6     sec/tick 0.5     sec/kimg 0.03    dyn_loss 814.894 total_loss 2665.847
tick 7     sec/tick 0.5     sec/kimg 0.03    dyn_loss 691.160 total_loss 2559.150
tick 8     sec/tick 0.5     sec/kimg 0.03    dyn_loss 938.727 total_loss 2745.375
tick 9     sec/tick 0.5     sec/kimg 0.03    dyn_loss 838.990 total_loss 2612.844
tick 10    sec/tick 0.5     sec/kimg 0.03    dyn_loss 800.103 total_loss 2589.537
tick 11    sec/tick 0.5     sec/kimg 0.03    dyn_loss 933.167 total_loss 2776.909
tick 12    sec/tick 0.5     sec/kimg 0.03    dyn_loss 947.585 total_loss 2640.173
tick 13    sec/tick 0.5     sec/kimg 0.03    dyn_loss 813.369 total_loss 2650.777
tick 14    sec/tick 0.5     sec/kimg 0.03    dyn_loss 1032.317 total_loss 2816.669
tick 15    sec/tick 0.5     sec/kimg 0.03    dyn_loss 883.630 total_loss 2764.870
tick 16    sec/tick 0.5     sec/kimg 0.03    dyn_loss 703.233 total_loss 2271.931
tick 17    sec/tick 0.5     sec/kimg 0.03    dyn_loss 915.525 total_loss 2634.337
tick 18    sec/tick 0.5     sec/kimg 0.03    dyn_loss 829.538 total_loss 2341.311
tick 19    sec/tick 0.5     sec/kimg 0.03    dyn_loss 885.917 total_loss 2618.327
tick 20    sec/tick 0.5     sec/kimg 0.03    dyn_loss 599.574 total_loss 2227.533
tick 21    sec/tick 0.5     sec/kimg 0.03    dyn_loss 799.458 total_loss 2589.703
tick 22    sec/tick 0.5     sec/kimg 0.03    dyn_loss 824.168 total_loss 2486.803
tick 23    sec/tick 0.5     sec/kimg 0.03    dyn_loss 812.605 total_loss 2407.050
tick 24    sec/tick 0.5     sec/kimg 0.03    dyn_loss 876.182 total_loss 2520.757
tick 25    sec/tick 0.5     sec/kimg 0.04    dyn_loss 656.186 total_loss 2348.606
tick 26    sec/tick 0.5     sec/kimg 0.03    dyn_loss 781.292 total_loss 2594.642
tick 27    sec/tick 0.5     sec/kimg 0.03    dyn_loss 731.659 total_loss 2288.651
tick 28    sec/tick 0.5     sec/kimg 0.03    dyn_loss 692.106 total_loss 2340.043
